NmlsID,Company,FName,Lname,Username,Password
1234567,ABC Mortgage,Emily,Smith,emilys,emily@123
2345678,XYZ Loans,Michael,Johnson,michaelj,m!chael2024
3456789,Quick Finance,Sophia,Williams,sophiaw,sophia!567
4567890,LoanExperts,Jacob,Brown,jacobb,jac0b$L0an
5678901,Easy Mortgages,Olivia,Jones,oliviaj,olivia2024!
6789012,Fast Loans,Ethan,Miller,ethanm,eth@nL0ans
7890123,Pro Finance,Ava,Davis,avad,pr0F!nance
8901234,Dream Home,Matthew,Garcia,matthewg,m@g!cHome
9012345,Secure Lenders,Isabella,Rodriguez,isabellar,is@bella$L
1122334,Swift Loans,Benjamin,Martinez,benjaminm,b3njaM!n21
2233445,Prime Mortgages,Emma,Hernandez,emmah,3mmaPrime
3344556,Elite Finance,Alexander,Lopez,alexanderl,@lex&F!nance
4455667,Capital Loans,Mia,Gonzalez,miag,capitalM!@
5566778,Golden Finance,William,Wilson,williamw,w1llyFin@
6677889,Secure Mortgages,Abigail,Anderson,abigaila,abbySecur3
7788990,Easy Finance,James,Thomas,jamest,Jam3sF!nance
8899001,Dream Loans,Charlotte,Taylor,charlottet,Ch@rl0tt3Loans
9900112,Smooth Mortgages,Daniel,Moore,danielem,Sm00thD@niel
1122333,Home Lenders,Harper,Jackson,harperj,H@rperHome
2233444,Speedy Loans,Samuel,White,samuelw,SpeedyS@m21
